Marker	Footnote Content	Proposed Citekey	Pinpoint	Confidence
[^170]	Peng Hwa Ang & Ors., ‘Shuting down of mobile phone and the downfall of Nepalese society, economy and politics’, (2012) PacificAffairs, vol.85 no.3. available at” https://dr.ntu.edu.sg/bitstream/10356/105954/2/Shutting%20down%20the%20mobile%20phone%20and%20the%20downfall%20of%20Nepalese%20society%2C%20economy%20and%20politics.pdf”	@hwaangShutingMobile		70
[^171]	The Unified Directive no. 14/2079, Rule 19 (11), Unified Directives issued by the Nepal Rastra Bank to “A”, “B” and “C” Category         Certified Institutions, 2079 (2023),	@RuleLaw2021	Rule 19	40
[^172]	Schedule 1, Unified Directives issued by the Nepal Rastra Bank to “A”, “B” and “C” Category Certified Institutions, 2079 (2023)	@nepalUnifiedDirectives20792023	Schedule 1	30
[^173]	“PDF,” n.d.			0
[^174]	Rule 3 (1) (ii), Unified Directive no.3/079, Payment System Unified Directive,2079 (2023)	@RuleLaw2021	Rule 3	40
[^175]	“PDF,” n.d.			0
[^176]	Rule 3 (2) and (3),Unified Directive no.3/079, Payment System Unified Directive,2079 (2023)	@RuleLaw2021	Rule 3	40
[^177]	Section 27, Right to Information Act, 2064 (2007)	@RightInformation	Section 27	70
[^178]	Section 27(5), Right to Information Act, 2064 (2007)	@RightInformation	Section 27	70
[^179]	Tika R Pradhan, ‘Government backtracks on information classification, The Kathmandu Post, (31 January 2023), available at “https://kathmandupost.com/national/2023/01/31/government-backtracks-on-information-classification” (last accessed on 6th October, 2023\)	@pradhanGovernmentBacktracks		90
[^180]	Pradhan, *Government Backtracks on Information Classification*.	@pradhanGovernmentBacktracks		70
[^181]	Rule 10, Individual Privacy Regulation, 2077 (2020)	@IndividualPrivacy	Rule 10	40
[^182]	Table S.No.9, Decision of the Council of Ministers Meeting held on 2079/11/15 (27th February, 2023\)  			0
[^183]	Letter dated 2079/11/17 (1st March, 2023), Ministry of Information and Communication	@srilankaICTAct2003		27
[^184]	Section 2 (b), Right to Information Act, 2064 (2006)	@RightInformation	Section 2	70
[^185]	The World Bank, “Use of data in the private sector of Nepal the current state and opportunities in finance, education and the media” (July 2020\) pg.19-22, available at “https://documents1.worldbank.org/curated/en/805261601023506163/pdf/Use-of-Data-in-the-Private-Sector-of-Nepal-The-Current-State-and-Opportunities-in-Finance-Education-and-the-Media.pdf”	@UseData		90
[^186]	The World Bank, “Use of data in the private sector of Nepal the current state and opportunities in finance, education and the media” (July 2020\) pg.19, available at “https://documents1.worldbank.org/curated/en/805261601023506163/pdf/Use-of-Data-in-the-Private-Sector-of-Nepal-The-Current-State-and-Opportunities-in-Finance-Education-and-the-Media.pdf”	@UseData		90
[^187]	ibid. 			0
[^188]	ibid			0
[^189]	Section 28, Right to Information Act, 2064 (2007)	@RightInformation	Section 28	70
[^190]	Section 8 (2), Right to Information Act, 2005 (India)	@RightInformationa	Section 8	90
[^191]	Section 3, Right to Information Act, 2064 (2007)	@RightInformation	Section 3	70
[^192]	Section 27, Right to Information Act, 2064 (2007)	@RightInformation	Section 27	70
[^193]	Tika R Pradhan, ‘Government backtracks on information classification, The Kathmandu Post, (31 January 2023), available at “https://kathmandupost.com/national/2023/01/31/government-backtracks-on-information-classification” (last accessed on 6th October, 2023\)	@pradhanGovernmentBacktracks		90
[^194]	Pradhan, *Government Backtracks on Information Classification*.	@pradhanGovernmentBacktracks		70
[^195]	Section 27(3), Right to Information Act, 2064 (2007)	@RightInformation	Section 27	70
[^196]	Interview with the   National Information Commission, Annex-2.	@SECIView		40
[^197]	Chapter 4, Copyright Act, 2059 (2002)	@indiaCopyrightAct1957		70
[^198]	Section 27, Right to Information Act, 2064 (2007)	@RightInformation	Section 27	70
[^199]	Samajha Bk, ‘Too many identity cards are burdening Nepal with big money and citizens with redtape: time to rethink?’, OnlineKhabar, (16 September 2022), available at “https://english.onlinekhabar.com/many-identity-cards-nepal-problem.html” (last accessed on 6th October, 2023\)	@TooMany2022		57
[^200]	*Too Many Identity Cards Are Burdening Nepal with Big Money and Citizens with Red Tape. Time to Rethink?*	@TooMany2022		32
[^201]	Adv. Bhaktiram Ghimire v Government of Nepal Prime Ministers Office, Ministry of Physical Infrastructure and Transport and ors., NKP 2079 (Decision no. 073-Wo-1097)	@AdvBhaktiramGhimireOffice2022		31
[^202]	“Smart License\_Privacy.Pdf.”			0
[^203]	Article 28, Constitution of Nepal, 2015	@nepalConstitutionNepal2015		90
[^204]	Rabindra Ghimire, ‘Digital loss in Nepal is troubling Nepal in front of the helpless government’, OnlineKhabar (8 May 2023), available at” https://english.onlinekhabar.com/digital-data-loss-nepal-helpless.html” (last accessed on 6th October, 2023\) 	@DigitalData2023		56
[^205]	*Digital Data Loss Is Troubling Nepal in Front of the Helpless Government \- OnlineKhabar English News*.	@DigitalData2023		40
[^206]	There are total of 27 such service provider in Nepal.	@tplmapsGISService		40
[^207]	There are only two GSM celluar data provider which are Ncell and Nepal Doorsanchar Company limited. 			0
[^208]	There are total of 122 such providers with largest players being worldlink, subisu, vianet, etc. 			0
[^209]	By ‘micro-data’ the interviewee refers to all raw data collected or the initial set of information collected, such as national surveys.	@SECIView		40
[^210]	Rudra Pangeni, ‘Cartel of contractors in cahoots with government officials swindle billions of rupees, govt report reveal’, Centre for Investigative Journalism (15 January 2018), available at “https://cijnepal.org.np/cartel-contractors-cahoots-govt-officials-swindle-billions-rupees-govt-report-reveals/”(last accessed on 7th October, 2023\)	@pangeniCartelContractors2018		90
[^211]	Pangeni, “Cartel of Contractors in Cahoots with Government Officials Swindle Billions of Rupees, Govt Report Reveal.”	@pangeniCartelContractors2018		70
[^212]	Section 9, Archives Preservation Act, 2046 (1986)	@nepalArchivesPreservationAct1986	Section 9	70
[^213]	Section 10, Archives Preservation Act, 2046 (1986)	@nepalArchivesPreservationAct1986	Section 10	70
[^214]	Section 4, Right to Information Act, 2064 (2007)	@RightInformation	Section 4	70
[^215]	Gender Equality and Social Inclusion Strategy 2021 (2077)Available at” https://plgsp.gov.np/sites/default/files/2023-02/PLGSP%20Gender%20Equality%20and%20Social%20Inclusion%20%28GESI%29%20Strategy%202021%E2%80%932023.pdf”	@PLGSPGender		60
[^216]	Writ no.0287 of the year 2070 B.S (2013) (Decision No.9875)			0
[^217]	National Population and Housing Census, 2021, available at “https://censusnepal.cbs.gov.np/results/downloads/national”	@nationalstatisticsofficeNepal2021		52
[^218]	Writ No.079-WO-1382 			0
[^219]	Article 18 (3), Constitution of Nepal, 2072 (2015)	@nepalConstitutionNepal2015		70
[^220]	Section 27 (e), Privacy Act, 		Section 27	0
